volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,12.5,18.348829500027932,19.548838199977762,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,12.5,18.681229599984363,19.88123939994257,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,12.5,18.932039199979044,20.132047299924306,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,12.5,19.26924749999307,20.46925469993148,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,12.5,19.59361430001445,20.793618299928493,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,12.5,19.9062253999291,21.106229399959556,0.503479,-0.064432,baseline,0,0,nan,nan,nan,nan
6,12.5,20.28278250002768,21.48278919996228,0.067675,0.283532,baseline,0,0,nan,nan,nan,nan
7,12.5,20.598188999923877,21.79819889999926,0.079374,-0.070323,baseline,0,0,nan,nan,nan,nan
8,12.5,20.944619399961084,22.144629200035705,0.0,-0.0,baseline,0,0,nan,nan,nan,nan
9,12.5,21.2607356000226,22.460739699937402,-0.020126,-0.017866,baseline,0,0,nan,nan,nan,nan
10,12.5,21.583992899977602,22.78400279993657,-0.115779,-0.177854,baseline,0,0,nan,nan,nan,nan
11,12.5,21.88508679997176,23.08509390002582,-0.103594,-0.073562,baseline,0,0,nan,nan,nan,nan
12,12.5,22.267795099993236,23.467799000022932,0.109365,0.089414,baseline,0,0,nan,nan,nan,nan
13,12.5,22.601239899988286,23.801249799947254,0.088081,0.085608,baseline,0,0,nan,nan,nan,nan
14,12.5,22.92967909993604,24.129686299990862,-0.051167,-0.003956,baseline,0,0,nan,nan,nan,nan
15,12.5,23.222947099944577,24.422956900019198,0.028042,-0.010518,baseline,0,0,nan,nan,nan,nan
16,12.5,23.422664999961853,24.622669899999163,0.273995,0.18589,baseline,0,0,nan,nan,nan,nan
17,12.5,23.73590610001702,24.935915899975225,0.066369,0.029104,baseline,0,0,nan,nan,nan,nan
18,12.5,24.078205300029367,25.27820929994341,-0.052366,-0.151481,baseline,0,0,nan,nan,nan,nan
19,12.5,24.913648699992336,26.113652700022794,-0.324426,-0.314492,baseline,0,0,nan,nan,nan,nan
20,12.5,26.085717499954626,27.285727300029247,0.0924,-0.082921,baseline,0,0,nan,nan,nan,nan
21,12.5,27.405044300016016,28.605052899965084,0.22614,0.145044,baseline,0,0,nan,nan,nan,nan
22,12.5,28.511499700020067,29.711508299969136,0.207402,0.129979,baseline,0,0,nan,nan,nan,nan
23,12.5,29.687581999925897,30.887591800000518,0.069227,0.118081,baseline,0,0,nan,nan,nan,nan
24,12.5,30.900690299924463,32.10069729997777,0.005383,0.024707,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,12.5,32.16092980001122,33.3609336999245,0.05426,-0.018073,feedback,0,0,False,-0.0014077799132085952,0.3333333333333333,-0.3333333333333333
26,12.5,33.35807650000788,34.55808040003758,-0.053271,-0.003355,feedback,0,0,False,0.0036222530032411927,0.3333333333333333,-0.3333333333333333
27,12.5,34.495058799977414,35.695062800007875,-0.206836,-0.127772,feedback,0,0,False,0.00031639019732296157,0.3333333333333333,-0.3333333333333333
28,12.5,35.748169900034554,36.94817379994784,-0.253421,-0.17859,feedback,0,0,False,-0.0058362525593555585,0.3333333333333333,-0.3333333333333333
29,12.5,36.87698850000743,38.07699240003713,-0.274481,-0.216863,feedback,0,0,False,-0.01103999626099734,0.3333333333333333,-0.3333333333333333
30,12.5,38.15270760003477,39.35271149994806,-0.295388,-0.292712,feedback,0,0,False,-0.016000737588363605,0.3333333333333333,-0.3333333333333333
31,12.5,39.33358740003314,40.53359129994642,-0.290338,-0.293339,feedback,0,0,False,-0.016200118547919917,0.3333333333333333,-0.3333333333333333
32,12.5,40.575994699960575,41.77600170001388,-0.377556,-0.342048,feedback,0,0,False,-0.01597652278572682,0.3333333333333333,-0.3333333333333333
33,12.5,41.68194139993284,42.88194529996254,-0.375292,-0.413301,feedback,0,0,False,-0.018445747189488573,0.3333333333333333,-0.3333333333333333
34,12.5,42.96559109992813,44.16559499995783,-0.174765,-0.212554,feedback,0,0,False,-0.01567673938980189,0.3333333333333333,-0.3333333333333333
35,12.5,44.11523669993039,45.31524049995933,-0.056911,-0.172144,feedback,0,0,False,-0.01311146210772471,0.3333333333333333,-0.3333333333333333
36,12.5,45.31278499995824,46.51278879998718,-0.257908,-0.395945,feedback,0,0,False,-0.004907372730211431,0.3333333333333333,-0.3333333333333333
37,12.5,46.49291629996151,47.69292019999121,-0.508639,-0.478732,feedback,0,0,False,0.005605911422397257,0.3333333333333333,-0.3333333333333333
38,12.5,47.74372529995162,48.94373330001254,-0.446116,-0.426042,feedback,0,0,False,0.0033281106215100505,0.3333333333333333,-0.3333333333333333
39,12.5,48.86043230001815,50.06043869995047,-0.440836,-0.420842,feedback,0,0,False,0.001965402527609248,0.3333333333333333,-0.3333333333333333
40,12.5,50.12260589993093,51.322613499988805,-0.474649,-0.471484,feedback,0,0,False,0.00040949921792303966,0.3333333333333333,-0.3333333333333333
41,12.5,51.31672270002309,52.5167267999379,-0.338993,-0.349386,feedback,0,0,False,0.00017368429378403541,0.3333333333333333,-0.3333333333333333
42,12.5,52.45969639997929,53.65970030000899,-0.249535,-0.267076,feedback,0,0,False,0.0009480364285633975,0.3333333333333333,-0.3333333333333333
43,12.5,53.67974639998283,54.87975409992505,-0.190197,-0.210262,feedback,0,0,False,0.0022840080689272776,0.3333333333333333,-0.3333333333333333
44,12.5,54.89851540001109,56.09851929992438,-0.173712,-0.127319,feedback,0,0,False,0.0037125489674529146,0.3333333333333333,-0.3333333333333333
45,12.5,56.082645699963905,57.282648999989036,0.052839,0.078571,feedback,0,0,False,0.00048638225111520675,0.3333333333333333,-0.3333333333333333
46,12.5,57.355794699979015,58.555798600008714,0.074111,0.008546,feedback,0,0,False,-0.0014734388679682768,0.3333333333333333,-0.3333333333333333
47,12.5,58.49200830003247,59.69201229994651,0.032501,0.022925,feedback,0,0,False,0.0029773908708284925,0.3333333333333333,-0.3333333333333333
48,12.5,59.67547989997547,60.875488599925305,0.022366,-0.085315,feedback,0,0,False,0.003643305394046434,0.3333333333333333,-0.3333333333333333
