volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,11.71875,18.601445300038904,19.801454699994064,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,11.71875,18.957155199954286,20.157162700011394,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,11.71875,19.29851710004732,20.498521299962885,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,11.71875,19.626117900013924,20.826122100045904,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,11.71875,19.982117100036703,21.182121299952268,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,11.71875,20.336783300037496,21.53679370000027,2.49697,-0.583179,baseline,0,0,nan,nan,nan,nan
6,11.71875,20.650845700060017,21.85085390000604,-0.698623,0.19262,baseline,0,0,nan,nan,nan,nan
7,11.71875,21.0024975000415,22.20250279996544,0.269884,0.326742,baseline,0,0,nan,nan,nan,nan
8,11.71875,21.364037199993618,22.564044700050726,0.0,0.0,baseline,0,0,nan,nan,nan,nan
9,11.71875,21.714427300030366,22.9144377999939,0.037166,0.042509,baseline,0,0,nan,nan,nan,nan
10,11.71875,22.082939599989913,23.28294900006149,-0.014375,-0.042684,baseline,0,0,nan,nan,nan,nan
11,11.71875,22.411505799973384,23.611510000005364,-0.064397,-0.063795,baseline,0,0,nan,nan,nan,nan
12,11.71875,22.799167899996974,23.999177000066265,-0.043515,-0.146606,baseline,0,0,nan,nan,nan,nan
13,11.71875,23.162792399991304,24.36279710002709,-0.183876,-0.096593,baseline,0,0,nan,nan,nan,nan
14,11.71875,23.491879199980758,24.69188340001274,-0.163685,-0.102909,baseline,0,0,nan,nan,nan,nan
15,11.71875,23.845128100016154,25.04513729996979,-0.11898,-0.129432,baseline,0,0,nan,nan,nan,nan
16,11.71875,24.1585312000243,25.358596400055102,-0.022117,-0.036944,baseline,0,0,nan,nan,nan,nan
17,11.71875,24.39745180006139,25.59746110001579,-0.303141,-0.245617,baseline,0,0,nan,nan,nan,nan
18,11.71875,24.85276929999236,26.052779699955135,-0.262913,-0.248719,baseline,0,0,nan,nan,nan,nan
19,11.71875,25.04765550000593,26.24766609997023,-0.284012,-0.227776,baseline,0,0,nan,nan,nan,nan
20,11.71875,26.16298280004412,27.362987099960446,-0.089821,-0.102032,baseline,0,0,nan,nan,nan,nan
21,11.71875,27.36931750003714,28.569324899977072,-0.289402,-0.292882,baseline,0,0,nan,nan,nan,nan
22,11.71875,28.518827000050806,29.718836200004443,-0.036098,-0.042704,baseline,0,0,nan,nan,nan,nan
23,11.71875,29.692367000039667,30.89237109995447,-0.173634,-0.075208,baseline,0,0,nan,nan,nan,nan
24,11.71875,30.941820599953644,32.141824699984866,-0.368363,-0.373965,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,11.71875,32.104435999994166,33.30444020002615,-0.269933,-0.288421,feedback,0,0,False,0.000361267602105518,0.3333333333333333,-0.3333333333333333
26,11.71875,33.293122999952175,34.49312719998416,-0.253764,-0.139804,feedback,0,0,False,0.0015819284349384048,0.3333333333333333,-0.3333333333333333
27,11.71875,34.53655610000715,35.73656030003913,-0.348543,-0.275232,feedback,0,0,False,-0.0062921833496177755,0.3333333333333333,-0.3333333333333333
28,11.71875,35.72592910006642,36.92593329998199,-0.648834,-0.53174,feedback,0,0,False,-0.011357636219375548,0.3333333333333333,-0.3333333333333333
29,11.71875,36.97412070003338,38.174124800064604,-0.30502,-0.157233,feedback,0,0,False,-0.019987670105425098,0.3333333333333333,-0.3333333333333333
30,11.71875,38.204667299985886,39.40467160001863,-0.546725,-0.344937,feedback,0,0,False,-0.030652912069525123,0.3333333333333333,-0.3333333333333333
31,11.71875,39.32994660001714,40.529954799963164,-0.610576,-0.311832,feedback,0,0,False,-0.043666026473964385,0.3333333333333333,-0.3333333333333333
