volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,15.625,18.77449920005165,19.97450639999006,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,15.625,19.10388910002075,20.303899299982003,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,15.625,19.408563200035132,20.60856720006559,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,15.625,19.72958040004596,20.92959040000569,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,15.625,20.080858499975875,21.28086860005278,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,15.625,20.466551600024104,21.666561699984594,1.962378,-3.454022,baseline,0,0,nan,nan,nan,nan
6,15.625,20.84454540000297,22.04454940003343,0.0378,0.272679,baseline,0,0,nan,nan,nan,nan
7,15.625,21.19479490001686,22.394802200072444,-0.049128,0.098251,baseline,0,0,nan,nan,nan,nan
8,15.625,21.57283980003558,22.77284380006604,0.0,-0.0,baseline,0,0,nan,nan,nan,nan
9,15.625,21.9378810999915,23.137891300069167,0.092953,0.097431,baseline,0,0,nan,nan,nan,nan
10,15.625,22.308518400066532,23.508528600027784,-0.026685,-0.012025,baseline,0,0,nan,nan,nan,nan
11,15.625,22.658469200017862,23.858476500073447,0.018644,0.016269,baseline,0,0,nan,nan,nan,nan
12,15.625,22.976664200075902,24.17667210001964,-0.098692,-0.031486,baseline,0,0,nan,nan,nan,nan
13,15.625,23.35528090002481,24.555284900055266,0.080055,0.11671,baseline,0,0,nan,nan,nan,nan
14,15.625,23.69746449997183,24.897474700049496,-0.050415,0.014769,baseline,0,0,nan,nan,nan,nan
15,15.625,24.03955039998982,25.23955380001571,-0.053972,0.007409,baseline,0,0,nan,nan,nan,nan
16,15.625,24.313347000046633,25.513357100007124,0.071206,0.057942,baseline,0,0,nan,nan,nan,nan
17,15.625,24.51497170003131,25.714981899992562,0.135903,0.068188,baseline,0,0,nan,nan,nan,nan
18,15.625,24.882131200050935,26.082141300011425,-0.0901,-0.090915,baseline,0,0,nan,nan,nan,nan
19,15.625,25.19960870000068,26.399618800077587,-0.001732,-0.003768,baseline,0,0,nan,nan,nan,nan
20,15.625,26.162343500065617,27.36235370002687,-0.266579,-0.272258,baseline,0,0,nan,nan,nan,nan
21,15.625,27.308735699974932,28.5087446000427,-0.448944,-0.448821,baseline,0,0,nan,nan,nan,nan
22,15.625,28.563524199998938,29.763534300075843,-0.505863,-0.538385,baseline,0,0,nan,nan,nan,nan
23,15.625,29.716142300050706,30.916146300081163,-0.265393,-0.364219,baseline,0,0,nan,nan,nan,nan
24,15.625,30.980033900006674,32.180037900037135,-0.060938,-0.152457,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,15.625,32.2190566000063,33.41906060003676,-0.014516,-0.056053,feedback,0,0,False,0.008577061157393174,0.3333333333333333,-0.3333333333333333
26,15.625,33.28539420000743,34.48539820003789,0.064629,0.031509,feedback,0,0,False,0.011950823298464322,0.3333333333333333,-0.3333333333333333
27,15.625,34.52666420000605,35.72667020005174,-0.083184,-0.036602,feedback,0,0,False,0.014985816562387884,0.3333333333333333,-0.3333333333333333
28,15.625,35.704149700002745,36.9041576000629,0.087968,0.199201,feedback,0,0,False,0.010911243137072481,0.3333333333333333,-0.3333333333333333
29,15.625,36.91413659998216,38.11414070001338,-0.080996,-0.144718,feedback,0,0,False,0.0011815830576831939,0.3333333333333333,-0.3333333333333333
30,15.625,38.18525199999567,39.38525950005278,0.146721,-0.048737,feedback,0,0,False,0.007020829457554495,0.3333333333333333,-0.3333333333333333
31,15.625,39.36563890008256,40.56564309999813,0.43781,0.349551,feedback,0,0,False,0.02371066411429777,0.3333333333333333,-0.3333333333333333
32,15.625,40.513493700069375,41.71349769998342,0.346635,0.225908,feedback,0,0,False,0.03124695383878844,0.3333333333333333,-0.3333333333333333
33,15.625,41.72037910006475,42.920388700021434,0.445026,0.294041,feedback,0,0,False,0.04205849463140839,0.3333333333333333,-0.3333333333333333
34,15.625,42.93849820003379,44.13850220006425,0.868767,0.615104,feedback,0,0,False,0.05589419686430388,0.3333333333333333,-0.3333333333333333
35,15.625,44.14210870000534,45.34211280003656,1.005097,0.701415,feedback,0,0,False,0.07861063868823981,0.3333333333333333,-0.3333333333333333
36,15.625,45.28888350003399,46.48889269998763,0.712071,0.564455,feedback,0,0,False,0.10454154132834183,0.3333333333333333,-0.3333333333333333
37,15.625,46.53582860005554,47.735832600086,0.681779,0.428979,feedback,0,0,False,0.11806852096745242,0.3333333333333333,-0.3333333333333333
38,15.625,47.79308650002349,48.99309050005395,0.508326,0.253202,feedback,0,0,False,0.141760662059346,0.3333333333333333,-0.3333333333333333
39,15.625,48.959441100014374,50.159445200045596,0.462912,0.253142,feedback,0,0,False,0.16407660964768894,0.3333333333333333,-0.3333333333333333
40,15.625,50.134187199990265,51.334191100019964,0.304654,0.235028,feedback,0,0,False,0.18155164634546167,0.3333333333333333,-0.3333333333333333
41,15.625,51.307674500043504,52.50767890007701,0.231599,0.025875,feedback,0,0,False,0.18764190115012847,0.3333333333333333,-0.3333333333333333
