volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,5.625,17.49094580000019,18.690949900000486,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,5.625,17.83838420000029,19.03839160000025,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,5.625,18.186377200001516,19.38638760000067,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,5.625,18.49043789999996,19.690441900001314,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,5.625,18.801155799999833,20.00116690000068,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,5.625,19.138569800001278,20.338580200000433,0.053603,0.62055,baseline,0,0,nan,nan,nan,nan
6,5.625,19.467301700000462,20.667305800000758,0.050158,-0.004247,baseline,0,0,nan,nan,nan,nan
7,5.625,19.836356400001023,21.036366600000473,-0.193864,-0.095817,baseline,0,0,nan,nan,nan,nan
8,5.625,20.16822200000024,21.368226100000538,0.0,0.0,baseline,0,0,nan,nan,nan,nan
9,5.625,20.485415300001478,21.685424300000886,-0.045425,0.010392,baseline,0,0,nan,nan,nan,nan
10,5.625,20.867611400000897,22.06762180000005,0.007538,-0.178694,baseline,0,0,nan,nan,nan,nan
11,5.625,21.219698400000198,22.41970240000155,-0.062314,-0.098627,baseline,0,0,nan,nan,nan,nan
12,5.625,21.57155800000146,22.77156820000091,-0.031463,0.004258,baseline,0,0,nan,nan,nan,nan
13,5.625,21.918749399999797,23.118758499999966,0.017417,-0.03793,baseline,0,0,nan,nan,nan,nan
14,5.625,22.26213110000026,23.462135099999795,-0.035454,0.019722,baseline,0,0,nan,nan,nan,nan
15,5.625,22.617515900001308,23.817526400001224,-0.098421,-0.115879,baseline,0,0,nan,nan,nan,nan
16,5.625,22.94510700000137,24.145117500001287,0.00935,-0.05165,baseline,0,0,nan,nan,nan,nan
17,5.625,23.322924000000057,24.52293430000027,0.02779,0.078532,baseline,0,0,nan,nan,nan,nan
18,5.625,23.700500900000407,24.90051120000062,0.016632,0.341533,baseline,0,0,nan,nan,nan,nan
19,5.625,24.883446800000456,26.08345720000143,0.036291,0.403124,baseline,0,0,nan,nan,nan,nan
20,5.625,26.100758399999904,27.300765799999862,0.025141,0.061748,baseline,0,0,nan,nan,nan,nan
21,5.625,27.331279400001222,28.531289800000376,-0.079632,-0.012831,baseline,0,0,nan,nan,nan,nan
22,5.625,28.510895500001425,29.710904500000833,0.012265,0.030716,baseline,0,0,nan,nan,nan,nan
23,5.625,29.697397300000375,30.89740140000067,-0.121839,-0.117211,baseline,0,0,nan,nan,nan,nan
24,5.625,30.87346660000003,32.07347730000147,-0.070562,0.016465,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,5.625,32.08648490000087,33.28648900000117,-0.089193,-0.045684,feedback,0,0,False,-0.002715609545162909,0.3333333333333333,-0.3333333333333333
26,5.625,33.32668470000135,34.52668879999983,-0.127828,-0.089705,feedback,0,0,False,-0.004133614536697634,0.3333333333333333,-0.3333333333333333
27,5.625,34.59968480000134,35.7996909000005,-0.068456,-0.022603,feedback,0,0,False,-0.0052967774474088096,0.3333333333333333,-0.3333333333333333
28,5.625,35.74132869999994,36.94133299999994,0.028167,-0.042528,feedback,0,0,False,-0.006568605929495266,0.3333333333333333,-0.3333333333333333
29,5.625,36.86332150000089,38.06333080000077,0.178951,-0.081227,feedback,0,0,False,-0.004509689167927713,0.3333333333333333,-0.3333333333333333
30,5.625,38.122424400000455,39.32243240000135,0.27359,-0.083521,feedback,0,0,False,0.00396979100140558,0.3333333333333333,-0.3333333333333333
31,5.625,39.40174040000056,40.601745200000735,0.331045,-0.105059,feedback,0,0,False,0.016103682520091582,0.3333333333333333,-0.3333333333333333
32,5.625,40.50963279999996,41.70963690000026,0.245093,-0.194181,feedback,0,0,False,0.02759512286061977,0.3333333333333333,-0.3333333333333333
33,5.625,41.709202600000935,42.90921180000005,0.232213,-0.044551,feedback,0,0,False,0.04099772035923597,0.3333333333333333,-0.3333333333333333
