volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,19.53125,16.995166300000164,18.19517030000061,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,19.53125,17.33509640000011,18.535106399999858,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,19.53125,17.65263330000016,18.852641100000437,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,19.53125,17.961428200000228,19.161438100000122,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,19.53125,18.269144900000356,19.46915270000063,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,19.53125,18.62818890000017,19.828199400000084,-0.038511,0.118655,baseline,0,0,nan,nan,nan,nan
6,19.53125,18.976394700000128,20.17639859999981,-0.076683,-0.032171,baseline,0,0,nan,nan,nan,nan
7,19.53125,19.307004100000086,20.507014300000446,-0.078744,-0.004803,baseline,0,0,nan,nan,nan,nan
8,19.53125,19.65632900000037,20.856332999999903,-0.0,-0.0,baseline,0,0,nan,nan,nan,nan
9,19.53125,20.009230700000444,21.20924060000034,0.012818,0.02415,baseline,0,0,nan,nan,nan,nan
10,19.53125,20.338418100000126,21.53842800000002,-0.05875,-0.019533,baseline,0,0,nan,nan,nan,nan
11,19.53125,20.643729200000053,21.843739099999947,0.026957,0.033884,baseline,0,0,nan,nan,nan,nan
12,19.53125,21.009304300000622,22.209314200000517,0.007338,-0.035267,baseline,0,0,nan,nan,nan,nan
13,19.53125,21.315891700000066,22.515895600000658,-0.028003,-0.063611,baseline,0,0,nan,nan,nan,nan
14,19.53125,21.605453099999977,22.805463200000485,-0.030023,-0.022809,baseline,0,0,nan,nan,nan,nan
15,19.53125,21.791602899999816,22.99160690000026,-0.069771,-0.153754,baseline,0,0,nan,nan,nan,nan
16,19.53125,22.128322100000332,23.328332000000227,-0.086916,-0.158481,baseline,0,0,nan,nan,nan,nan
17,19.53125,22.526796000000104,23.726808399999936,-0.034297,-0.025298,baseline,0,0,nan,nan,nan,nan
18,19.53125,23.66057809999984,24.860588000000643,-0.04197,-0.059571,baseline,0,0,nan,nan,nan,nan
19,19.53125,24.952358399999866,26.15236560000012,-0.027161,0.027267,baseline,0,0,nan,nan,nan,nan
20,19.53125,26.164674800000284,27.36468470000018,0.003936,0.058733,baseline,0,0,nan,nan,nan,nan
21,19.53125,27.30167580000034,28.50168120000053,-0.038337,-0.009094,baseline,0,0,nan,nan,nan,nan
22,19.53125,28.487645500000326,29.68765530000037,0.004611,0.058126,baseline,0,0,nan,nan,nan,nan
23,19.53125,29.672113900000113,30.872122599999965,-0.049236,-0.082301,baseline,0,0,nan,nan,nan,nan
24,19.53125,30.902044299999943,32.10204820000054,0.027333,0.008523,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,19.53125,32.05432950000068,33.25433340000036,0.047018,0.037922,feedback,0,0,False,0.002378284634884828,0.3333333333333333,-0.3333333333333333
26,19.53125,33.32497200000034,34.52497599999988,0.022374,-0.109014,feedback,0,0,False,0.003576277559687258,0.3333333333333333,-0.3333333333333333
27,19.53125,34.50873899999988,35.70874699999986,0.137774,-0.030117,feedback,0,0,False,0.020534705057033684,0.3333333333333333,-0.3333333333333333
28,19.53125,35.725735500000155,36.92573980000016,0.088349,-0.139159,feedback,0,0,False,0.04220462431112836,0.3333333333333333,-0.3333333333333333
29,19.53125,36.8588378000004,38.05884170000009,0.016769,-0.271198,feedback,0,0,False,0.06917226689054307,0.3333333333333333,-0.3333333333333333
30,19.53125,38.073969600000055,39.2739736000005,0.108754,-0.181913,feedback,0,0,False,0.10406494876064584,0.3333333333333333,-0.3333333333333333
31,19.53125,39.30206530000032,40.50206940000062,0.038702,-0.327318,feedback,0,0,False,0.14081608432513626,0.3333333333333333,-0.3333333333333333
32,19.53125,40.579557099999874,41.779561200000174,0.044014,-0.388271,feedback,0,0,False,0.18805878253637875,0.3333333333333333,-0.3333333333333333
33,19.53125,41.728769100000136,42.92877310000058,0.07483,-0.375332,feedback,0,0,False,0.24271570828816916,0.3333333333333333,-0.3333333333333333
34,19.53125,42.85965550000037,44.05966330000065,-0.004149,-0.498962,feedback,0,0,False,0.29844717679674576,0.3333333333333333,-0.3333333333333333
35,19.53125,44.14179150000018,45.34180100000067,0.090589,-0.477839,feedback,1,0,False,0.0,0.3333333333333333,-0.3333333333333333
36,19.53125,45.35174629999983,46.55175419999996,0.055247,-0.520099,feedback,1,0,False,0.074865075006552,0.3333333333333333,-0.3333333333333333
37,19.53125,46.51605030000064,47.716054600000646,0.064838,-0.492648,feedback,1,0,False,0.1476102398945075,0.3333333333333333,-0.3333333333333333
38,19.53125,47.79140920000009,48.991413100000685,0.12443,-0.407368,feedback,1,0,False,0.22103419368478922,0.3333333333333333,-0.3333333333333333
39,19.53125,48.87721090000014,50.077218700000415,0.068466,-0.426021,feedback,1,0,False,0.27986838484532417,0.3333333333333333,-0.3333333333333333
40,19.53125,50.087343000000146,51.28734689999983,0.157472,-0.352548,feedback,2,0,False,0.0,0.3333333333333333,-0.3333333333333333
41,19.53125,51.257562800000414,52.4575667000001,0.095539,-0.278334,feedback,2,0,False,0.06179862834071209,0.3333333333333333,-0.3333333333333333
42,19.53125,52.47218179999982,53.67218570000041,-0.02706,-0.285233,feedback,2,0,False,0.11103974627987873,0.3333333333333333,-0.3333333333333333
43,19.53125,53.709492500000124,54.90950220000032,0.083312,-0.172966,feedback,2,0,False,0.14368242990784885,0.3333333333333333,-0.3333333333333333
44,19.53125,54.853969300000244,56.053973500000396,0.013161,-0.197107,feedback,2,0,False,0.17608551495085834,0.3333333333333333,-0.3333333333333333
45,19.53125,56.13590360000035,57.335912400000055,0.031683,-0.198415,feedback,2,0,False,0.20544056671988883,0.3333333333333333,-0.3333333333333333
46,19.53125,57.312758300000496,58.51276700000035,0.076118,-0.156648,feedback,2,0,False,0.23513962789963477,0.3333333333333333,-0.3333333333333333
47,19.53125,58.486153800000466,59.68615770000015,-0.000443,-0.151421,feedback,2,0,False,0.26702244473999837,0.3333333333333333,-0.3333333333333333
48,19.53125,59.68588989999989,60.88589760000032,0.012341,-0.141643,feedback,2,0,False,0.28571399500965183,0.3333333333333333,-0.3333333333333333
49,19.53125,60.90647010000066,62.10647810000064,-0.028777,-0.139805,feedback,2,0,False,0.3059945295888941,0.3333333333333333,-0.3333333333333333
50,19.53125,62.06503840000005,63.26504790000054,-0.048154,-0.198457,feedback,2,0,False,0.32149490381517554,0.3333333333333333,-0.3333333333333333
51,19.53125,63.37284030000046,64.57284450000061,0.011407,-0.170272,feedback,3,0,False,0.0,0.3333333333333333,-0.3333333333333333
52,19.53125,64.4677670000001,65.66777090000069,-0.02703,-0.147003,feedback,3,0,False,0.019621056332437145,0.3333333333333333,-0.3333333333333333
